filename,gold,predicted,false_positives
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000079.jpg,set(),{'Twitter (X)'},{'Twitter (X)'}
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000080.jpg,set(),{'Twitter'},{'Twitter'}
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000084.jpg,set(),{'Twitter'},{'Twitter'}
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000106.jpg,set(),{'Twitter (X)'},{'Twitter (X)'}
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000160.jpg,set(),{'Twitter'},{'Twitter'}
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000161.jpg,set(),"{'Twitter', 'Facebook'}","{'Twitter', 'Facebook'}"
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000167.jpg,set(),{'Twitter (X)'},{'Twitter (X)'}
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000170.jpg,set(),{'Twitter'},{'Twitter'}
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000174.jpg,set(),"{'Twitter', 'Facebook'}","{'Twitter', 'Facebook'}"
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000204.jpg,set(),{'Twitter'},{'Twitter'}
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000221.jpg,set(),"{'Twitter', 'Facebook'}","{'Twitter', 'Facebook'}"
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000224.jpg,set(),"{'Twitter', 'Instagram'}","{'Twitter', 'Instagram'}"
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000233.jpg,set(),"{'Twitter', 'Facebook'}","{'Twitter', 'Facebook'}"
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000234.jpg,set(),"{'Twitter', 'Instagram'}","{'Twitter', 'Instagram'}"
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000256.jpg,set(),{'Twitter'},{'Twitter'}
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000257.jpg,set(),{'Twitter'},{'Twitter'}
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000258.jpg,set(),{'Twitter'},{'Twitter'}
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000260.jpg,set(),{'Twitter'},{'Twitter'}
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000267.jpg,set(),"{'Twitter', 'Facebook'}","{'Twitter', 'Facebook'}"
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000281.jpg,set(),{'Twitter'},{'Twitter'}
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000286.jpg,set(),{'Twitter (X)'},{'Twitter (X)'}
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000287.jpg,set(),"{'Twitter', 'Facebook'}","{'Twitter', 'Facebook'}"
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000292.jpg,set(),{'Twitter'},{'Twitter'}
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000295.jpg,set(),"{'Twitter', 'Facebook'}","{'Twitter', 'Facebook'}"
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000300.jpg,set(),"{'Twitter', 'Facebook'}","{'Twitter', 'Facebook'}"
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000307.jpg,set(),{'Twitter'},{'Twitter'}
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000308.jpg,set(),{'Twitter'},{'Twitter'}
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000311.jpg,set(),{'Twitter'},{'Twitter'}
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000341.jpg,set(),{'Twitter'},{'Twitter'}
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000347.jpg,set(),"{'Twitter', 'Instagram'}","{'Twitter', 'Instagram'}"
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000348.jpg,set(),{'Twitter'},{'Twitter'}
